reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
263c0d27-24a6-481d-9f23-2ea4d89e532b,Dean C.,"FEES to high, Delays, Lost Orders! Always check Ebay & other sellers, Amazon pays to get top ""sponsors"", rigged like Google. ""Arriving by 10pm"" means it's gonna be a day late! CANCEL PRIME it's always late.",1,1,28.18.0.100,2024-09-28 14:36:22,28.18.0.100
fc16bd52-c28e-4c47-b16a-fac251a18375,Sharon English,I cannot find certain items in the food store so I checked out Amazon and they have it.,5,0,28.18.0.100,2024-09-28 14:28:49,28.18.0.100
4ba0a298-f507-490f-8084-ba612f4ec7bf,Catherine Naigembe,Good,5,0,28.18.0.100,2024-09-28 14:28:10,28.18.0.100
a76ae720-b923-42ab-8bb7-62ac373674e3,Elicia Jones,I want to try it,5,0,18.4.0.100,2024-09-28 14:25:52,18.4.0.100
2fbfc0c1-c2d1-4300-a143-a7be20770e01,Kevin,"I've never seen so many pictures of dogs. They broke this app with the latest update. I get the ""uh oh something went wrong on our end"" error with the dog in the background all the time. The app also randomly quits and crashes to my home screen. It freezes when scrolling pictures in reviews. The AI customer service is a useless waste of time. If they could fix these bugs and add a feature to browse in dark mode then this would be a good app",1,5,28.18.0.100,2024-09-28 14:20:35,28.18.0.100
cafa18fc-2120-412d-85e7-ad597f7ee159,Ayush Neupane,Doesn't even let me log in. It asks me to put in OTP from email and then also from my mobile number but it doesn't even send the SMS. It has the correct number.,1,0,28.18.0.100,2024-09-28 14:17:14,28.18.0.100
f52cb8b0-6741-4f32-a65c-8c431429ecd2,Rin V,"Latest update ruins the entire experience. Too cluttered, too bright, took something good and ruined it.",1,0,28.18.0.100,2024-09-28 14:10:26,28.18.0.100
446e6427-1060-437a-bdce-01baaeb5576e,Jessica Talanca,"I've been using the Amazon ap for at least 10 years and have never had any problems with the ap. Any issues I've had (VERY FEW) with any purchases have been dealt with quickly and with acceptable results. My only complaint is that trying to find a customer service # is nearly impossible. The only way I've found to contact them is thru live chat, which always starts with an automated system. Eventually, you can get a real person, but it's frustrating when you're already upset with an issue.",5,0,28.18.0.100,2024-09-28 14:07:31,28.18.0.100
308aa56e-a32d-40ee-938d-e6173470ee4c,Isaiah claybon,this is truly my favorite spot to shop..,5,0,28.18.0.100,2024-09-28 14:01:04,28.18.0.100
6a9a80f7-827d-41b6-852b-51186695fbd1,Clive Aitken,"convenient, good prices, vast expanse of products.",5,0,28.18.0.100,2024-09-28 13:57:30,28.18.0.100
acaf5145-351c-450b-b1f4-28febf3c5bcf,sabir tourabi (Tourabi),"Worst experience ever, zero time respect now communication.",1,0,28.18.0.100,2024-09-28 13:37:03,28.18.0.100
db1b1d50-4479-42b7-bef3-6c972e53281a,Z Callum james Rutherford,Great,5,0,,2024-09-28 13:29:22,
c1b7d994-1b60-4425-ac73-195269bf60d4,James Moriel,Failing. I pay 12 bucks a month for prime. Prime guarantees ship dates. Amazon fails to keep these shipping timeliness. I give them my business when I could walk down the street to Walmart for something faster and they keep failing. Not worth the service. Take a trip down the street guys. They are going down.,1,0,28.18.0.100,2024-09-28 13:19:12,28.18.0.100
add12f9d-3ff3-46cb-8ea0-8c9065cc5c53,J L,"Every single time I try using the app this morning (9/28/24), it crashes.",1,0,28.18.0.100,2024-09-28 13:15:33,28.18.0.100
e01d89de-975d-4ff5-b4f7-0583155b75f7,Nicole Reed,fast delivery wide variety,5,0,28.18.0.100,2024-09-28 13:15:16,28.18.0.100
f70004ef-1fe2-4a81-9462-23adf520c607,Purple Kaleido,"giftcards are useless, go back to how they used to be.",1,0,,2024-09-28 13:10:16,
cfb3e02d-1bde-4f52-9a31-c40f1439e846,s1ng8888,Last update has made user unfriendly. Lots of screen freeze. Crashes. Rufus? Please provide an option to turn this off permanently.,2,0,28.18.0.100,2024-09-28 13:07:45,28.18.0.100
27e5ec22-a4ef-47ad-9133-65dae4c98482,Patricia Hyland,Great has amazing shopping on amazon can't flaut it,4,0,28.18.0.100,2024-09-28 13:03:36,28.18.0.100
6abe9e91-a236-4bfb-b294-a336f04cc636,Dora Nurse,I love amazon,5,0,28.18.0.100,2024-09-28 12:58:26,28.18.0.100
1bc75444-5f43-4918-b80b-b1da783ff2b8,Thelma Jones-Seyfer,I like shopping here at makes it easy,5,0,28.18.0.100,2024-09-28 12:49:18,28.18.0.100
7d23580c-1927-4531-8e94-25d5b702742d,Dan “Barbary”,👍👍👍👍,4,0,28.18.0.100,2024-09-28 12:33:22,28.18.0.100
f431b191-66ee-4acb-a974-5b8272822b14,SAMMILIA LINDA KORKOR COFIE-BRUCE,Epic and efficient!,5,0,28.18.0.100,2024-09-28 12:32:39,28.18.0.100
4b42d868-88f5-4ed3-9d6a-80c89cddec9f,Reiniere “Rein.” Maghirang,"I'm going to be honest after they get the money from us and as a client or customer I'm being honest I received it what I have ordered but on the apps on your account it's not being updated from the staff to the IT they're not following what they need to follow and updated thanks you know, It's the delivery driver who messed up the name of this company and the third party delivery especially with this stupid virus that we got most of them They don't care about the client who ordered things.",1,11,28.18.0.100,2024-09-28 12:31:40,28.18.0.100
f49034a2-80f7-416f-91b3-7a455b2387aa,Peter McCann,"I used to love Amazon but lately the quality of EVERY purchase has been beyond poor. Even good brands the items they send just don't work, break easily, come with broken parts etc. Going to be canceling my prime membership after almost a decade because it isn't worth it anymore.",2,0,28.18.0.100,2024-09-28 12:31:33,28.18.0.100
45b94a1e-d005-4eba-8c4e-2f9247f396aa,hurshida hassan,all items good quality and fast delivery 👌 👏,5,0,28.18.0.100,2024-09-28 12:28:09,28.18.0.100
576ef825-6612-4311-80eb-6a5dbaa1d40b,Dwayne Keith Mobley,I shop Amazon very often: as a disabled person it helps. The selections are great and customer service is even better. Keep up the Good Work.,4,0,28.18.0.100,2024-09-28 12:24:50,28.18.0.100
b97224dd-86e6-4ee3-861b-b725a6742413,Mohan Bingi,Nice thank you amazon,5,0,28.18.0.100,2024-09-28 11:58:23,28.18.0.100
f0739965-9817-4325-a48c-34fd6956aa0e,Albert Rhodes,"Easy, reliable, and great customer service 👍 👌 👏",5,0,28.18.0.100,2024-09-28 11:37:55,28.18.0.100
61ff4923-e876-44e9-9da3-bc895e5e1f28,SHAHAL SHAN,good 👍,5,0,28.18.0.100,2024-09-28 11:16:32,28.18.0.100
